Ticker,Name,Price
WBA UW Equity,Walgreens Boots Alliance Inc,67.22
WDC UW Equity,Western Digital Corp,67.96
WEC UN Equity,WEC Energy Group Inc,66.33
WELL UN Equity,Welltower Inc,64.32
WFC UN Equity,Wells Fargo & Co,58.83
WHR UN Equity,Whirlpool Corp,134.78
WLTW UW Equity,Willis Towers Watson PLC,148.82
WM UN Equity,Waste Management Inc,89.56
WMB UN Equity,Williams Cos Inc/The,31.14
WMT UN Equity,Walmart Inc,89.6
WRK UN Equity,WestRock Co,55.82
WU UN Equity,Western Union Co/The,19.4
WY UN Equity,Weyerhaeuser Co,33.97
WYNN UW Equity,Wynn Resorts Ltd,149.19
XEC UN Equity,Cimarex Energy Co,94.03
XEL UW Equity,Xcel Energy Inc,47.18
XL UN Equity,XL Group Ltd,56.27
XLNX UW Equity,Xilinx Inc,71.87
XOM UN Equity,Exxon Mobil Corp,80.2
XRAY UW Equity,DENTSPLY SIRONA Inc,47.73
XRX UN Equity,Xerox Corp,26.14
XYL UN Equity,Xylem Inc/NY,76
YUM UN Equity,Yum! Brands Inc,81.86
ZBH UN Equity,Zimmer Biomet Holdings Inc,125.91
ZION UW Equity,Zions Bancorporation,53.34
ZTS UN Equity,Zoetis Inc,91.63
